year,target_source_token,crushed_stone_sold_used_metric_tons,target_withheld,target_includes_agency_estimates,state_fips
2019,10500000,10500000,FALSE,TRUE,09
2020,10300000,10300000,FALSE,TRUE,09
2021,10400000,10400000,FALSE,TRUE,09
2022,10400000,10400000,FALSE,TRUE,09
2023,11000000,11000000,FALSE,TRUE,09
2015,W,,TRUE,TRUE,10
2016,W,,TRUE,TRUE,10
2017,W,,TRUE,TRUE,10
2018,W,,TRUE,TRUE,10
2019,W,,TRUE,TRUE,10
2020,W,,TRUE,TRUE,10
2021,W,,TRUE,TRUE,10
2022,W,,TRUE,TRUE,10
2023,W,,TRUE,TRUE,10
2015,69100000,69100000,FALSE,TRUE,12
2016,74100000,74100000,FALSE,TRUE,12
2017,74700000,74700000,FALSE,TRUE,12
2018,76800000,76800000,FALSE,TRUE,12
2019,81300000,81300000,FALSE,TRUE,12
2020,83400000,83400000,FALSE,TRUE,12
2021,86600000,86600000,FALSE,TRUE,12
2022,91100000,91100000,FALSE,TRUE,12
2023,95000000,95000000,FALSE,TRUE,12
2015,48100000,48100000,FALSE,TRUE,13
2016,53800000,53800000,FALSE,TRUE,13
2017,53100000,53100000,FALSE,TRUE,13
2018,53300000,53300000,FALSE,TRUE,13
2019,57600000,57600000,FALSE,TRUE,13
2020,59300000,59300000,FALSE,TRUE,13
2021,61200000,61200000,FALSE,TRUE,13
2022,63400000,63400000,FALSE,TRUE,13
2023,67300000,67300000,FALSE,TRUE,13
2015,5150000,5150000,FALSE,TRUE,15
2016,5260000,5260000,FALSE,TRUE,15
2017,5070000,5070000,FALSE,TRUE,15
2018,4680000,4680000,FALSE,TRUE,15
2019,5770000,5770000,FALSE,TRUE,15
2020,5880000,5880000,FALSE,TRUE,15
2021,5850000,5850000,FALSE,TRUE,15
2022,5570000,5570000,FALSE,TRUE,15
2023,6260000,6260000,FALSE,TRUE,15
2015,5190000,5190000,FALSE,TRUE,16
2016,4640000,4640000,FALSE,TRUE,16
2017,4060000,4060000,FALSE,TRUE,16
2018,4600000,4600000,FALSE,TRUE,16
2019,4210000,4210000,FALSE,TRUE,16
2020,4620000,4620000,FALSE,TRUE,16
2021,5370000,5370000,FALSE,TRUE,16
2022,5570000,5570000,FALSE,TRUE,16
2023,5400000,5400000,FALSE,TRUE,16
2015,54500000,54500000,FALSE,TRUE,17
2016,50200000,50200000,FALSE,TRUE,17
2017,49500000,49500000,FALSE,TRUE,17
2018,48600000,48600000,FALSE,TRUE,17
2019,49800000,49800000,FALSE,TRUE,17
2020,53700000,53700000,FALSE,TRUE,17
2021,51500000,51500000,FALSE,TRUE,17
2022,50700000,50700000,FALSE,TRUE,17
2023,54200000,54200000,FALSE,TRUE,17
2015,49500000,49500000,FALSE,TRUE,18
2016,47400000,47400000,FALSE,TRUE,18
2017,49000000,49000000,FALSE,TRUE,18
2018,50300000,50300000,FALSE,TRUE,18
2019,51400000,51400000,FALSE,TRUE,18
2020,52400000,52400000,FALSE,TRUE,18
2021,52300000,52300000,FALSE,TRUE,18
2022,55100000,55100000,FALSE,TRUE,18
2023,55700000,55700000,FALSE,TRUE,18
2015,36000000,36000000,FALSE,TRUE,19
2016,38100000,38100000,FALSE,TRUE,19
2017,38700000,38700000,FALSE,TRUE,19
2018,39200000,39200000,FALSE,TRUE,19
2019,41700000,41700000,FALSE,TRUE,19
2020,39600000,39600000,FALSE,TRUE,19
2021,35600000,35600000,FALSE,TRUE,19
2022,34900000,34900000,FALSE,TRUE,19
2023,33500000,33500000,FALSE,TRUE,19
2015,17700000,17700000,FALSE,TRUE,20
2016,16900000,16900000,FALSE,TRUE,20
2017,16300000,16300000,FALSE,TRUE,20
2018,15400000,15400000,FALSE,TRUE,20
2019,15100000,15100000,FALSE,TRUE,20
2020,17800000,17800000,FALSE,TRUE,20
2021,19400000,19400000,FALSE,TRUE,20
2022,19000000,19000000,FALSE,TRUE,20
2023,18700000,18700000,FALSE,TRUE,20
2015,55600000,55600000,FALSE,TRUE,21
2016,50000000,50000000,FALSE,TRUE,21
2017,50600000,50600000,FALSE,TRUE,21
2018,49700000,49700000,FALSE,TRUE,21
2019,52100000,52100000,FALSE,TRUE,21
2020,50000000,50000000,FALSE,TRUE,21
2021,51100000,51100000,FALSE,TRUE,21
2022,53800000,53800000,FALSE,TRUE,21
2023,55500000,55500000,FALSE,TRUE,21
2015,W,,TRUE,TRUE,22
2016,W,,TRUE,TRUE,22
2017,W,,TRUE,TRUE,22
2018,W,,TRUE,TRUE,22
2019,W,,TRUE,TRUE,22
2020,W,,TRUE,TRUE,22
2021,W,,TRUE,TRUE,22
2022,W,,TRUE,TRUE,22
2023,W,,TRUE,TRUE,22
2015,4330000,4330000,FALSE,TRUE,23
2016,4210000,4210000,FALSE,TRUE,23
2017,4400000,4400000,FALSE,TRUE,23
2018,4040000,4040000,FALSE,TRUE,23
2019,4500000,4500000,FALSE,TRUE,23
2020,4690000,4690000,FALSE,TRUE,23
2021,4700000,4700000,FALSE,TRUE,23
2022,4480000,4480000,FALSE,TRUE,23
2023,4260000,4260000,FALSE,TRUE,23
2015,22700000,22700000,FALSE,TRUE,24
2016,22100000,22100000,FALSE,TRUE,24
2017,24300000,24300000,FALSE,TRUE,24
2018,22500000,22500000,FALSE,TRUE,24
2019,25700000,25700000,FALSE,TRUE,24
2020,24600000,24600000,FALSE,TRUE,24
2021,25700000,25700000,FALSE,TRUE,24
2022,24400000,24400000,FALSE,TRUE,24
2023,23800000,23800000,FALSE,TRUE,24
2015,12100000,12100000,FALSE,TRUE,25
2016,12600000,12600000,FALSE,TRUE,25
2017,12900000,12900000,FALSE,TRUE,25
2018,13900000,13900000,FALSE,TRUE,25
2019,13400000,13400000,FALSE,TRUE,25
2020,13000000,13000000,FALSE,TRUE,25
2021,12400000,12400000,FALSE,TRUE,25
2022,12800000,12800000,FALSE,TRUE,25
2023,12300000,12300000,FALSE,TRUE,25
2015,32500000,32500000,FALSE,TRUE,26
2016,38000000,38000000,FALSE,TRUE,26
2017,33600000,33600000,FALSE,TRUE,26
2018,37400000,37400000,FALSE,TRUE,26
2019,35400000,35400000,FALSE,TRUE,26
2020,32800000,32800000,FALSE,TRUE,26
2021,36000000,36000000,FALSE,TRUE,26
2022,37200000,37200000,FALSE,TRUE,26
2023,34400000,34400000,FALSE,TRUE,26
2015,7780000,7780000,FALSE,TRUE,27
2016,7340000,7340000,FALSE,TRUE,27
2017,7120000,7120000,FALSE,TRUE,27
2018,7710000,7710000,FALSE,TRUE,27
2019,8010000,8010000,FALSE,TRUE,27
2020,8580000,8580000,FALSE,TRUE,27
2021,9130000,9130000,FALSE,TRUE,27
2022,8550000,8550000,FALSE,TRUE,27
2023,8810000,8810000,FALSE,TRUE,27
2015,1900000,1900000,FALSE,TRUE,28
2016,2170000,2170000,FALSE,TRUE,28
2017,2090000,2090000,FALSE,TRUE,28
2018,2060000,2060000,FALSE,TRUE,28
2019,2090000,2090000,FALSE,TRUE,28
2020,1320000,1320000,FALSE,TRUE,28
2021,1320000,1320000,FALSE,TRUE,28
2022,1700000,1700000,FALSE,TRUE,28
2023,2300000,2300000,FALSE,TRUE,28
2015,70800000,70800000,FALSE,TRUE,29
2016,72000000,72000000,FALSE,TRUE,29
2017,74600000,74600000,FALSE,TRUE,29
2018,71400000,71400000,FALSE,TRUE,29
2019,74000000,74000000,FALSE,TRUE,29
2020,81700000,81700000,FALSE,TRUE,29
2021,85500000,85500000,FALSE,TRUE,29
2022,85200000,85200000,FALSE,TRUE,29
2023,86100000,86100000,FALSE,TRUE,29
2015,2820000,2820000,FALSE,TRUE,30
2016,2800000,2800000,FALSE,TRUE,30
2017,2690000,2690000,FALSE,TRUE,30
2018,2760000,2760000,FALSE,TRUE,30
2019,2900000,2900000,FALSE,TRUE,30
2020,2890000,2890000,FALSE,TRUE,30
2021,2890000,2890000,FALSE,TRUE,30
2022,2880000,2880000,FALSE,TRUE,30
2023,2870000,2870000,FALSE,TRUE,30
2015,7030000,7030000,FALSE,TRUE,31
2016,6880000,6880000,FALSE,TRUE,31
2017,7060000,7060000,FALSE,TRUE,31
2018,7060000,7060000,FALSE,TRUE,31
2019,W,,TRUE,TRUE,31
2020,W,,TRUE,TRUE,31
2021,W,,TRUE,TRUE,31
2022,W,,TRUE,TRUE,31
2023,W,,TRUE,TRUE,31
2015,8770000,8770000,FALSE,TRUE,32
2016,9420000,9420000,FALSE,TRUE,32
2017,11900000,11900000,FALSE,TRUE,32
2018,12200000,12200000,FALSE,TRUE,32
2019,12400000,12400000,FALSE,TRUE,32
2020,11200000,11200000,FALSE,TRUE,32
2021,9960000,9960000,FALSE,TRUE,32
2022,10100000,10100000,FALSE,TRUE,32
2023,10000000,10000000,FALSE,TRUE,32
2015,5550000,5550000,FALSE,TRUE,33
2016,5660000,5660000,FALSE,TRUE,33
2017,5190000,5190000,FALSE,TRUE,33
2018,5250000,5250000,FALSE,TRUE,33
2019,5430000,5430000,FALSE,TRUE,33
2020,5310000,5310000,FALSE,TRUE,33
2021,5070000,5070000,FALSE,TRUE,33
2022,5150000,5150000,FALSE,TRUE,33
2023,5130000,5130000,FALSE,TRUE,33
2015,17800000,17800000,FALSE,TRUE,34
2016,16600000,16600000,FALSE,TRUE,34
2017,17200000,17200000,FALSE,TRUE,34
2018,17800000,17800000,FALSE,TRUE,34
2019,18400000,18400000,FALSE,TRUE,34
2020,17300000,17300000,FALSE,TRUE,34
2021,17700000,17700000,FALSE,TRUE,34
2022,17800000,17800000,FALSE,TRUE,34
2023,18700000,18700000,FALSE,TRUE,34
2015,5120000,5120000,FALSE,TRUE,35
2016,4760000,4760000,FALSE,TRUE,35
2017,4500000,4500000,FALSE,TRUE,35
2018,4300000,4300000,FALSE,TRUE,35
2019,4220000,4220000,FALSE,TRUE,35
2020,4930000,4930000,FALSE,TRUE,35
2021,4270000,4270000,FALSE,TRUE,35
2022,4810000,4810000,FALSE,TRUE,35
2023,4480000,4480000,FALSE,TRUE,35
2015,40700000,40700000,FALSE,TRUE,36
2016,38300000,38300000,FALSE,TRUE,36
2017,37000000,37000000,FALSE,TRUE,36
2018,39800000,39800000,FALSE,TRUE,36
2019,39100000,39100000,FALSE,TRUE,36
2020,36700000,36700000,FALSE,TRUE,36
2021,40600000,40600000,FALSE,TRUE,36
2022,42000000,42000000,FALSE,TRUE,36
2023,42200000,42200000,FALSE,TRUE,36
2015,50200000,50200000,FALSE,TRUE,37
2016,57900000,57900000,FALSE,TRUE,37
2017,55400000,55400000,FALSE,TRUE,37
2018,56100000,56100000,FALSE,TRUE,37
2019,60700000,60700000,FALSE,TRUE,37
2020,55900000,55900000,FALSE,TRUE,37
2021,62300000,62300000,FALSE,TRUE,37
2022,62700000,62700000,FALSE,TRUE,37
2023,66800000,66800000,FALSE,TRUE,37
2015,788000,788000,FALSE,TRUE,38
2016,734000,734000,FALSE,TRUE,38
2017,427000,427000,FALSE,TRUE,38
2018,326000,326000,FALSE,TRUE,38
2019,337000,337000,FALSE,TRUE,38
2020,411000,411000,FALSE,TRUE,38
2021,321000,321000,FALSE,TRUE,38
2022,311000,311000,FALSE,TRUE,38
2023,410000,410000,FALSE,TRUE,38
2015,58400000,58400000,FALSE,TRUE,39
2016,61100000,61100000,FALSE,TRUE,39
2017,60700000,60700000,FALSE,TRUE,39
2018,66000000,66000000,FALSE,TRUE,39
2019,67900000,67900000,FALSE,TRUE,39
2020,66800000,66800000,FALSE,TRUE,39
2021,72600000,72600000,FALSE,TRUE,39
2022,75600000,75600000,FALSE,TRUE,39
2023,73900000,73900000,FALSE,TRUE,39
2015,38400000,38400000,FALSE,TRUE,40
2016,37200000,37200000,FALSE,TRUE,40
2017,35800000,35800000,FALSE,TRUE,40
2018,36800000,36800000,FALSE,TRUE,40
2019,38400000,38400000,FALSE,TRUE,40
2020,38300000,38300000,FALSE,TRUE,40
2021,41500000,41500000,FALSE,TRUE,40
2022,39900000,39900000,FALSE,TRUE,40
2023,39500000,39500000,FALSE,TRUE,40
2015,18300000,18300000,FALSE,TRUE,41
2016,20300000,20300000,FALSE,TRUE,41
2017,19900000,19900000,FALSE,TRUE,41
2018,22200000,22200000,FALSE,TRUE,41
2019,20700000,20700000,FALSE,TRUE,41
2020,20200000,20200000,FALSE,TRUE,41
2021,21600000,21600000,FALSE,TRUE,41
2022,24900000,24900000,FALSE,TRUE,41
2023,23600000,23600000,FALSE,TRUE,41
2015,89300000,89300000,FALSE,TRUE,42
2016,86600000,86600000,FALSE,TRUE,42
2017,89500000,89500000,FALSE,TRUE,42
2018,87600000,87600000,FALSE,TRUE,42
2019,95500000,95500000,FALSE,TRUE,42
2020,88500000,88500000,FALSE,TRUE,42
2021,93400000,93400000,FALSE,TRUE,42
2022,91400000,91400000,FALSE,TRUE,42
2023,88300000,88300000,FALSE,TRUE,42
2015,2360000,2360000,FALSE,TRUE,44
2016,2280000,2280000,FALSE,TRUE,44
2017,2230000,2230000,FALSE,TRUE,44
2018,1800000,1800000,FALSE,TRUE,44
2019,1930000,1930000,FALSE,TRUE,44
2020,2030000,2030000,FALSE,TRUE,44
2021,2150000,2150000,FALSE,TRUE,44
2022,2490000,2490000,FALSE,TRUE,44
2023,2400000,2400000,FALSE,TRUE,44
2015,23900000,23900000,FALSE,TRUE,45
2016,28300000,28300000,FALSE,TRUE,45
2017,28700000,28700000,FALSE,TRUE,45
2018,27500000,27500000,FALSE,TRUE,45
2019,29200000,29200000,FALSE,TRUE,45
2020,27900000,27900000,FALSE,TRUE,45
2021,31000000,31000000,FALSE,TRUE,45
2022,33800000,33800000,FALSE,TRUE,45
2023,34700000,34700000,FALSE,TRUE,45
2015,6580000,6580000,FALSE,TRUE,46
2016,6850000,6850000,FALSE,TRUE,46
2017,6440000,6440000,FALSE,TRUE,46
2018,6520000,6520000,FALSE,TRUE,46
2019,6940000,6940000,FALSE,TRUE,46
2020,8000000,8000000,FALSE,TRUE,46
2021,8300000,8300000,FALSE,TRUE,46
2022,7790000,7790000,FALSE,TRUE,46
2023,8150000,8150000,FALSE,TRUE,46
2015,40200000,40200000,FALSE,TRUE,47
2016,43700000,43700000,FALSE,TRUE,47
2017,46000000,46000000,FALSE,TRUE,47
2018,45100000,45100000,FALSE,TRUE,47
2019,50400000,50400000,FALSE,TRUE,47
2020,52300000,52300000,FALSE,TRUE,47
2021,56900000,56900000,FALSE,TRUE,47
2022,60500000,60500000,FALSE,TRUE,47
2023,58900000,58900000,FALSE,TRUE,47
2015,155000000,155000000,FALSE,TRUE,48
2016,159000000,159000000,FALSE,TRUE,48
2017,162000000,162000000,FALSE,TRUE,48
2018,178000000,178000000,FALSE,TRUE,48
2019,191000000,191000000,FALSE,TRUE,48
2020,189000000,189000000,FALSE,TRUE,48
2021,190000000,190000000,FALSE,TRUE,48
2022,202000000,202000000,FALSE,TRUE,48
2023,203000000,203000000,FALSE,TRUE,48
2015,8130000,8130000,FALSE,TRUE,49
2016,7880000,7880000,FALSE,TRUE,49
2017,9970000,9970000,FALSE,TRUE,49
2018,10100000,10100000,FALSE,TRUE,49
2019,10800000,10800000,FALSE,TRUE,49
2020,12300000,12300000,FALSE,TRUE,49
2021,13200000,13200000,FALSE,TRUE,49
2022,13400000,13400000,FALSE,TRUE,49
2023,12100000,12100000,FALSE,TRUE,49
2015,4820000,4820000,FALSE,TRUE,50
2016,4800000,4800000,FALSE,TRUE,50
2017,4630000,4630000,FALSE,TRUE,50
2018,5080000,5080000,FALSE,TRUE,50
2019,5400000,5400000,FALSE,TRUE,50
2020,5230000,5230000,FALSE,TRUE,50
2021,5320000,5320000,FALSE,TRUE,50
2022,5400000,5400000,FALSE,TRUE,50
2023,5630000,5630000,FALSE,TRUE,50
2015,48500000,48500000,FALSE,TRUE,51
2016,50000000,50000000,FALSE,TRUE,51
2017,51000000,51000000,FALSE,TRUE,51
2018,49500000,49500000,FALSE,TRUE,51
2019,51400000,51400000,FALSE,TRUE,51
2020,53100000,53100000,FALSE,TRUE,51
2021,54700000,54700000,FALSE,TRUE,51
2022,50800000,50800000,FALSE,TRUE,51
2023,52000000,52000000,FALSE,TRUE,51
2015,14200000,14200000,FALSE,TRUE,53
2016,15500000,15500000,FALSE,TRUE,53
2017,15800000,15800000,FALSE,TRUE,53
2018,15700000,15700000,FALSE,TRUE,53
2019,15400000,15400000,FALSE,TRUE,53
2020,15200000,15200000,FALSE,TRUE,53
2021,16700000,16700000,FALSE,TRUE,53
2022,16700000,16700000,FALSE,TRUE,53
2023,16000000,16000000,FALSE,TRUE,53
2015,15000000,15000000,FALSE,TRUE,54
2016,14300000,14300000,FALSE,TRUE,54
2017,13400000,13400000,FALSE,TRUE,54
2018,15600000,15600000,FALSE,TRUE,54
2019,16900000,16900000,FALSE,TRUE,54
2020,13600000,13600000,FALSE,TRUE,54
2021,14200000,14200000,FALSE,TRUE,54
2022,14000000,14000000,FALSE,TRUE,54
2023,14600000,14600000,FALSE,TRUE,54
2015,22700000,22700000,FALSE,TRUE,55
2016,24700000,24700000,FALSE,TRUE,55
2017,25300000,25300000,FALSE,TRUE,55
2018,26300000,26300000,FALSE,TRUE,55
2019,27800000,27800000,FALSE,TRUE,55
2020,25100000,25100000,FALSE,TRUE,55
2021,25700000,25700000,FALSE,TRUE,55
2022,27100000,27100000,FALSE,TRUE,55
2023,27600000,27600000,FALSE,TRUE,55
2015,18300000,18300000,FALSE,TRUE,56
2016,9950000,9950000,FALSE,TRUE,56
2017,9850000,9850000,FALSE,TRUE,56
2018,9330000,9330000,FALSE,TRUE,56
2019,10900000,10900000,FALSE,TRUE,56
2020,9560000,9560000,FALSE,TRUE,56
2021,7440000,7440000,FALSE,TRUE,56
2022,7160000,7160000,FALSE,TRUE,56
2023,8510000,8510000,FALSE,TRUE,56
