state_fips,state,year,quantity_token
27,Minnesota,2020,8580000
28,Mississippi,2020,1320000
29,Missouri,2020,81700000
30,Montana,2020,2890000
31,Nebraska,2020,W
32,Nevada,2020,11200000
33,New Hampshire,2020,5310000
34,New Jersey,2020,17300000
35,New Mexico,2020,4930000
36,New York,2020,36700000
37,North Carolina,2020,55900000
38,North Dakota,2020,411000
39,Ohio,2020,66800000
40,Oklahoma,2020,38300000
41,Oregon,2020,20200000
42,Pennsylvania,2020,88500000
44,Rhode Island,2020,2030000
45,South Carolina,2020,27900000
46,South Dakota,2020,8000000
47,Tennessee,2020,52300000
48,Texas,2020,189000000
49,Utah,2020,12300000
50,Vermont,2020,5230000
51,Virginia,2020,53100000
53,Washington,2020,15200000
54,West Virginia,2020,13600000
55,Wisconsin,2020,25100000
56,Wyoming,2020,9560000
01,Alabama,2019,41100000
02,Alaska,2019,1540000
04,Arizona,2019,10900000
05,Arkansas,2019,29600000
06,California,2019,41900000
08,Colorado,2019,16600000
09,Connecticut,2019,10500000
10,Delaware,2019,W
12,Florida,2019,81300000
13,Georgia,2019,57600000
15,Hawaii,2019,5770000
16,Idaho,2019,4210000
17,Illinois,2019,49800000
18,Indiana,2019,51400000
19,Iowa,2019,41700000
20,Kansas,2019,15100000
21,Kentucky,2019,52100000
22,Louisiana,2019,W
23,Maine,2019,4500000
24,Maryland,2019,25700000
25,Massachusetts,2019,13400000
26,Michigan,2019,35400000
27,Minnesota,2019,8010000
28,Mississippi,2019,2090000
29,Missouri,2019,74000000
30,Montana,2019,2900000
31,Nebraska,2019,W
32,Nevada,2019,12400000
33,New Hampshire,2019,5430000
34,New Jersey,2019,18400000
35,New Mexico,2019,4220000
36,New York,2019,39100000
37,North Carolina,2019,60700000
38,North Dakota,2019,337000
39,Ohio,2019,67900000
40,Oklahoma,2019,38400000
41,Oregon,2019,20700000
42,Pennsylvania,2019,95500000
44,Rhode Island,2019,1930000
45,South Carolina,2019,29200000
46,South Dakota,2019,6940000
47,Tennessee,2019,50400000
48,Texas,2019,191000000
49,Utah,2019,10800000
50,Vermont,2019,5400000
51,Virginia,2019,51400000
53,Washington,2019,15400000
54,West Virginia,2019,16900000
55,Wisconsin,2019,27800000
56,Wyoming,2019,10900000
01,Alabama,2018,36900000
02,Alaska,2018,1400000
04,Arizona,2018,11800000
05,Arkansas,2018,29000000
06,California,2018,41100000
08,Colorado,2018,14800000
09,Connecticut,2018,9520000
10,Delaware,2018,W
12,Florida,2018,76800000
13,Georgia,2018,53300000
15,Hawaii,2018,4680000
16,Idaho,2018,4600000
17,Illinois,2018,48600000
18,Indiana,2018,50300000
19,Iowa,2018,39200000
20,Kansas,2018,15400000
21,Kentucky,2018,49700000
22,Louisiana,2018,W
23,Maine,2018,4040000
24,Maryland,2018,22500000
25,Massachusetts,2018,13900000
26,Michigan,2018,37400000
27,Minnesota,2018,7710000
28,Mississippi,2018,2060000
29,Missouri,2018,71400000
30,Montana,2018,2760000
31,Nebraska,2018,7060000
32,Nevada,2018,12200000
33,New Hampshire,2018,5250000
34,New Jersey,2018,17800000
35,New Mexico,2018,4300000
36,New York,2018,39800000
37,North Carolina,2018,56100000
38,North Dakota,2018,326000
39,Ohio,2018,66000000
40,Oklahoma,2018,36800000
41,Oregon,2018,22200000
42,Pennsylvania,2018,87600000
44,Rhode Island,2018,1800000
45,South Carolina,2018,27500000
46,South Dakota,2018,6520000
47,Tennessee,2018,45100000
48,Texas,2018,178000000
49,Utah,2018,10100000
50,Vermont,2018,5080000
51,Virginia,2018,49500000
53,Washington,2018,15700000
54,West Virginia,2018,15600000
55,Wisconsin,2018,26300000
56,Wyoming,2018,9330000
01,Alabama,2017,37600000
02,Alaska,2017,1050000
04,Arizona,2017,9810000
05,Arkansas,2017,30900000
06,California,2017,39700000
08,Colorado,2017,15500000
09,Connecticut,2017,9830000
10,Delaware,2017,W
12,Florida,2017,74700000
13,Georgia,2017,53100000
15,Hawaii,2017,5070000
16,Idaho,2017,4060000
17,Illinois,2017,49500000
18,Indiana,2017,49000000
19,Iowa,2017,38700000
20,Kansas,2017,16300000
21,Kentucky,2017,50600000
22,Louisiana,2017,W
23,Maine,2017,4400000
24,Maryland,2017,24300000
25,Massachusetts,2017,12900000
26,Michigan,2017,33600000
27,Minnesota,2017,7120000
28,Mississippi,2017,2090000
29,Missouri,2017,74600000
30,Montana,2017,2690000
31,Nebraska,2017,7060000
32,Nevada,2017,11900000
33,New Hampshire,2017,5190000
34,New Jersey,2017,17200000
35,New Mexico,2017,4500000
36,New York,2017,37000000
37,North Carolina,2017,55400000
38,North Dakota,2017,427000
39,Ohio,2017,60700000
40,Oklahoma,2017,35800000
41,Oregon,2017,19900000
42,Pennsylvania,2017,89500000
44,Rhode Island,2017,2230000
45,South Carolina,2017,28700000
46,South Dakota,2017,6440000
47,Tennessee,2017,46000000
48,Texas,2017,162000000
49,Utah,2017,9970000
50,Vermont,2017,4630000
51,Virginia,2017,51000000
53,Washington,2017,15800000
54,West Virginia,2017,13400000
55,Wisconsin,2017,25300000
56,Wyoming,2017,9850000
01,Alabama,2016,37500000
02,Alaska,2016,760000
04,Arizona,2016,9410000
05,Arkansas,2016,29400000
06,California,2016,37100000
08,Colorado,2016,15400000
09,Connecticut,2016,9480000
10,Delaware,2016,W
12,Florida,2016,74100000
13,Georgia,2016,53800000
15,Hawaii,2016,5260000
16,Idaho,2016,4640000
17,Illinois,2016,50200000
18,Indiana,2016,47400000
19,Iowa,2016,38100000
20,Kansas,2016,16900000
21,Kentucky,2016,50000000
22,Louisiana,2016,W
23,Maine,2016,4210000
24,Maryland,2016,22100000
25,Massachusetts,2016,12600000
26,Michigan,2016,38000000
27,Minnesota,2016,7340000
28,Mississippi,2016,2170000
29,Missouri,2016,72000000
30,Montana,2016,2800000
31,Nebraska,2016,6880000
32,Nevada,2016,9420000
33,New Hampshire,2016,5660000
34,New Jersey,2016,16600000
35,New Mexico,2016,4760000
36,New York,2016,38300000
37,North Carolina,2016,57900000
38,North Dakota,2016,734000
39,Ohio,2016,61100000
40,Oklahoma,2016,37200000
41,Oregon,2016,20300000
42,Pennsylvania,2016,86600000
44,Rhode Island,2016,2280000
45,South Carolina,2016,28300000
46,South Dakota,2016,6850000
47,Tennessee,2016,43700000
48,Texas,2016,159000000
49,Utah,2016,7880000
50,Vermont,2016,4800000
51,Virginia,2016,50000000
53,Washington,2016,15500000
54,West Virginia,2016,14300000
55,Wisconsin,2016,24700000
56,Wyoming,2016,9950000
01,Alabama,2015,35300000
02,Alaska,2015,1040000
04,Arizona,2015,10300000
05,Arkansas,2015,27800000
06,California,2015,38200000
08,Colorado,2015,14900000
09,Connecticut,2015,9360000
10,Delaware,2015,W
12,Florida,2015,69100000
13,Georgia,2015,48100000
15,Hawaii,2015,5150000
16,Idaho,2015,5190000
17,Illinois,2015,54500000
18,Indiana,2015,49500000
19,Iowa,2015,36000000
20,Kansas,2015,17700000
21,Kentucky,2015,55600000
22,Louisiana,2015,W
23,Maine,2015,4330000
24,Maryland,2015,22700000
25,Massachusetts,2015,12100000
26,Michigan,2015,32500000
27,Minnesota,2015,7780000
28,Mississippi,2015,1900000
29,Missouri,2015,70800000
30,Montana,2015,2820000
31,Nebraska,2015,7030000
32,Nevada,2015,8770000
33,New Hampshire,2015,5550000
34,New Jersey,2015,17800000
35,New Mexico,2015,5120000
36,New York,2015,40700000
37,North Carolina,2015,50200000
38,North Dakota,2015,788000
39,Ohio,2015,58400000
40,Oklahoma,2015,38400000
41,Oregon,2015,18300000
42,Pennsylvania,2015,89300000
44,Rhode Island,2015,2360000
45,South Carolina,2015,23900000
46,South Dakota,2015,6580000
47,Tennessee,2015,40200000
48,Texas,2015,155000000
49,Utah,2015,8130000
50,Vermont,2015,4820000
51,Virginia,2015,48500000
53,Washington,2015,14200000
54,West Virginia,2015,15000000
55,Wisconsin,2015,22700000
56,Wyoming,2015,18300000
